Date,State,Crop,StorageType,ColdStorage,DelayHours,StorageLoss
2025-07-31,Jharkhand,Vegetables,Normal,0,2.8,1.71
2024-08-26,Odisha,Cereals,Normal,0,71.87,36.12
2024-01-04,Haryana,Vegetables,Normal,0,3.87,2.45
2025-12-06,Kerala,Vegetables,Open,0,14.59,20.28
2026-05-30,Chhattisgarh,Cereals,Cold,1,8.56,1.2
2023-12-07,Odisha,Fruits,Normal,0,62.55,151.72
2024-11-02,Uttar Pradesh,Fruits,Open,0,15.37,27.45
2025-07-15,Goa,Vegetables,Cold,1,3.5,1.2
2024-03-15,Sikkim,Pulses,Open,0,7.04,4.16
2024-12-12,Bihar,Pulses,Open,0,45.97,29.4
2025-10-09,Sikkim,Pulses,Cold,1,10.92,2.13
2026-03-14,Jharkhand,Cereals,Open,0,5.69,2.0
2023-01-02,Arunachal Pradesh,Cereals,Normal,0,0.62,0.11
2023-08-17,Tamil Nadu,Pulses,Cold,1,13.28,3.29
2026-06-25,Jharkhand,Pulses,Open,0,15.12,10.13
2025-09-03,Punjab,Fruits,Cold,1,7.11,3.35
2023-11-10,Uttar Pradesh,Vegetables,Cold,1,2.04,0.76
2026-07-26,Nagaland,Fruits,Normal,0,30.29,47.25
2026-11-10,Punjab,Pulses,Normal,0,61.79,26.14
2025-09-13,Chhattisgarh,Cereals,Open,0,31.95,16.28
2023-01-19,Maharashtra,Pulses,Normal,0,4.81,2.15
2023-10-22,Sikkim,Pulses,Cold,1,45.93,11.14
2026-03-29,Uttar Pradesh,Pulses,Normal,0,13.33,6.61
2024-04-06,Gujarat,Pulses,Normal,0,9.33,3.57
2024-12-12,Tamil Nadu,Cereals,Open,0,5.15,1.72
2023-08-19,Himachal Pradesh,Cereals,Normal,0,14.92,4.09
2025-10-09,Meghalaya,Cereals,Normal,0,26.14,9.36
2024-04-29,Punjab,Fruits,Normal,0,5.13,4.21
2024-02-22,Goa,Fruits,Open,0,13.96,28.91
2023-08-29,Chhattisgarh,Vegetables,Cold,1,42.06,19.74
2023-11-24,Rajasthan,Vegetables,Open,0,11.02,17.71
2023-06-13,Nagaland,Cereals,Open,0,14.72,6.73
2024-07-09,Bihar,Vegetables,Open,0,2.83,2.43
2023-08-19,Meghalaya,Vegetables,Open,0,125.6,211.74
2025-07-25,Mizoram,Fruits,Cold,1,47.91,36.81
2025-10-30,Uttar Pradesh,Pulses,Open,0,6.98,3.5
2025-06-21,Andhra Pradesh,Pulses,Open,0,10.85,6.37
2025-04-16,Rajasthan,Pulses,Open,0,5.7,5.02
2026-04-07,Gujarat,Cereals,Normal,0,3.21,0.75
2026-08-03,Karnataka,Cereals,Cold,1,13.51,2.11
2024-02-11,Maharashtra,Cereals,Open,0,1.04,0.33
2023-09-17,Haryana,Cereals,Normal,0,2.92,0.7
2024-01-12,Haryana,Vegetables,Open,0,1.34,1.33
2023-05-08,Gujarat,Cereals,Cold,1,8.45,1.27
2026-07-09,Kerala,Vegetables,Cold,1,5.07,2.15
2025-06-14,Andhra Pradesh,Pulses,Normal,0,10.44,3.8
