Date,State,InfraLevel,VehicleType,Distance,TransitTime,DelayHours,FuelCost,LogisticsRisk
2026-04-17,Uttarakhand,Low,Rail Freight,1489.18,134.39,52.23,1216.2,263.8
2025-01-10,Assam,High,Refrigerated,622.4,75.3,6.3,621.77,129.67
2024-05-11,Himachal Pradesh,Medium,Mini Truck,1307.69,184.73,31.97,1570.16,331.44
2026-04-03,Goa,Medium,Mini Truck,1243.01,141.4,43.31,1556.33,314.4
2024-06-21,Jharkhand,Very High,Truck,1060.38,144.26,5.56,994.39,216.3
2024-09-17,Tamil Nadu,Medium,Refrigerated,230.53,22.59,3.57,173.39,37.6
2025-12-13,Uttar Pradesh,Low,Truck,501.24,67.41,13.56,409.2,97.14
2023-01-12,Kerala,High,Refrigerated,619.07,61.49,4.91,504.27,105.28
2026-05-31,Maharashtra,Very High,Refrigerated,313.34,28.04,0.98,306.55,58.99
2023-06-20,Gujarat,Very High,Rail Freight,178.98,16.92,0.86,134.37,28.11
2025-05-23,Punjab,Low,Rail Freight,314.75,25.59,9.04,275.93,56.52
2025-01-08,Meghalaya,High,Mini Truck,373.52,67.4,7.04,388.34,91.4
2025-07-29,Mizoram,Medium,Truck,1141.39,168.35,63.25,1159.08,274.92
2023-03-17,Andhra Pradesh,Medium,Truck,169.27,19.87,3.36,156.26,33.72
2024-08-21,Maharashtra,Low,Rail Freight,1087.54,76.64,20.52,739.7,153.65
2026-09-24,Arunachal Pradesh,Very High,Rail Freight,471.99,59.16,2.95,299.33,72.7
2026-01-24,Haryana,Medium,Truck,610.35,65.49,14.08,691.34,138.8
2026-08-27,Punjab,High,Truck,447.26,44.14,3.92,389.47,79.85
2023-10-07,Odisha,High,Rail Freight,880.13,84.82,4.25,649.07,137.23
2026-01-05,Odisha,Medium,Truck,1029.54,128.78,35.52,963.53,216.69
2023-01-21,Karnataka,Medium,Mini Truck,874.73,104.82,17.85,1163.94,228.9
2026-02-20,Meghalaya,Very High,Refrigerated,176.29,27.32,1.06,134.63,32.91
2026-05-31,Assam,Low,Truck,628.84,90.82,37.51,513.58,132.91
2024-10-19,Uttarakhand,Low,Mini Truck,474.73,66.14,25.77,566.45,125.04
2023-07-11,West Bengal,Medium,Rail Freight,574.42,50.66,11.43,418.7,90.17
2026-06-10,West Bengal,Medium,Truck,861.13,100.34,28.11,1006.81,207.42
2026-10-18,Manipur,High,Rail Freight,657.65,71.44,4.46,424.5,97.61
2025-12-14,Meghalaya,Low,Truck,1351.09,196.01,49.43,1540.96,339.12
2024-06-25,Madhya Pradesh,Low,Mini Truck,981.49,134.43,52.34,1102.23,246.76
2026-12-15,West Bengal,Very High,Truck,907.39,106.05,5.0,740.06,160.73
2024-08-25,West Bengal,Medium,Refrigerated,980.03,96.81,27.09,973.34,200.4
2024-07-18,Karnataka,Medium,Refrigerated,1475.51,129.78,30.15,1046.14,227.38
2025-02-11,Bihar,Low,Rail Freight,1302.8,144.61,43.01,962.86,226.71
2024-01-05,Andhra Pradesh,Low,Mini Truck,375.56,53.73,19.49,361.29,86.17
2026-01-30,Assam,Low,Refrigerated,564.03,68.36,26.74,396.38,100.91
2023-01-29,Chhattisgarh,Low,Rail Freight,380.07,42.05,11.49,286.23,66.45
2026-12-10,Tripura,Low,Truck,1493.01,204.76,97.07,1259.35,319.87
2024-05-26,Gujarat,Low,Truck,430.3,46.52,15.87,431.43,92.0
2023-07-29,Karnataka,Low,Truck,861.02,93.14,56.96,867.91,194.88
2026-07-09,Karnataka,Low,Mini Truck,202.56,28.86,18.68,277.08,62.02
2024-08-11,Chhattisgarh,Medium,Refrigerated,560.91,62.14,10.69,516.79,109.76
2023-04-30,Himachal Pradesh,High,Truck,946.26,115.57,16.36,1118.19,226.28
2023-09-16,Jharkhand,High,Rail Freight,1158.96,120.21,14.78,1009.31,211.4
2024-12-10,Uttarakhand,High,Rail Freight,728.83,68.04,7.28,513.78,110.59
2023-06-04,Tamil Nadu,High,Rail Freight,1118.25,92.48,9.82,694.94,149.78
2024-09-05,Bihar,High,Mini Truck,786.12,135.6,19.22,1046.26,225.65
2024-01-11,Kerala,Low,Refrigerated,1252.84,114.84,35.81,1186.76,244.02
2026-09-18,Manipur,Medium,Truck,309.93,44.77,7.32,339.11,73.94
2023-07-29,Gujarat,High,Mini Truck,1088.83,123.34,21.13,1141.89,235.24
2025-06-15,Gujarat,Very High,Mini Truck,956.31,106.31,3.79,1074.86,210.58
2025-06-11,Goa,Medium,Truck,882.35,87.7,28.59,873.5,181.93
2025-04-26,Uttar Pradesh,Very High,Mini Truck,266.93,43.47,1.51,313.08,67.13
2024-09-11,Madhya Pradesh,Low,Truck,1316.87,154.15,48.02,1216.93,271.12
2025-09-17,Punjab,High,Refrigerated,873.45,70.02,10.81,820.25,158.87
2026-01-27,Madhya Pradesh,High,Mini Truck,1087.36,150.31,12.11,1122.68,240.89
2024-10-27,Jharkhand,Low,Refrigerated,656.88,77.91,20.29,458.27,111.92
2023-01-23,Manipur,Very High,Mini Truck,1052.03,171.83,11.14,1041.51,238.01
2024-12-14,Manipur,Medium,Rail Freight,969.08,104.19,14.03,862.69,181.9
2026-01-27,Uttar Pradesh,Very High,Truck,285.22,38.31,0.99,265.5,57.46
2025-06-11,Goa,Very High,Refrigerated,862.37,74.89,3.17,722.62,143.36
2026-09-17,Gujarat,High,Refrigerated,1400.19,118.1,8.2,1081.07,218.58
2026-04-05,Bihar,Low,Refrigerated,812.95,101.5,39.53,797.54,181.12
2026-02-02,Haryana,Very High,Rail Freight,366.69,31.1,1.39,238.63,50.34
