State,Crop,Date,Rainfall,Production_MT,ProductionRisk
Chhattisgarh,Cereals,2026-02-06,1300,56.2163011979469,43.7836988020531
Maharashtra,Fruits,2025-08-08,900,64.57342867711093,35.426571322889075
Arunachal Pradesh,Fruits,2026-06-29,2800,0.3184683131802367,99.68153168681977
Mizoram,Fruits,2026-12-04,2400,1.8769885485500069,98.12301145145
Jharkhand,Pulses,2025-11-15,1400,32.676368472304866,67.32363152769514
Uttarakhand,Pulses,2025-02-07,1500,28.314545520292832,71.68545447970718
Madhya Pradesh,Cereals,2025-10-13,1000,72.13950736623515,27.86049263376485
Chhattisgarh,Cereals,2026-09-10,1300,51.94824723322415,48.05175276677585
Sikkim,Fruits,2023-08-06,1800,15.30976999497914,84.69023000502087
Odisha,Cereals,2025-05-26,1500,39.805433549919506,60.194566450080494
Himachal Pradesh,Vegetables,2026-04-08,1600,28.197370818158774,71.80262918184123
Himachal Pradesh,Vegetables,2023-09-04,1600,37.58235168397422,62.41764831602578
Tripura,Cereals,2024-10-09,2300,4.149445933386271,95.85055406661373
Nagaland,Cereals,2024-10-01,2100,10.023092069310605,89.97690793068939
Arunachal Pradesh,Vegetables,2023-04-28,2800,0.34623568629527723,99.65376431370473
Haryana,Pulses,2023-12-03,650,45.687246103880334,54.312753896119666
Karnataka,Pulses,2023-12-21,950,41.39547131397164,58.60452868602836
Odisha,Vegetables,2026-08-25,1500,31.907540525203185,68.09245947479681
Gujarat,Pulses,2023-01-31,800,45.41424544591062,54.58575455408938
West Bengal,Fruits,2025-09-13,1600,29.581914592869822,70.41808540713018
Bihar,Fruits,2026-05-10,1100,49.10749161988331,50.89250838011669
Haryana,Cereals,2024-08-31,650,71.20251551323314,28.797484486766862
Gujarat,Vegetables,2024-02-20,800,60.70467620054921,39.29532379945079
Meghalaya,Pulses,2023-07-16,2600,0.6953061630034658,99.30469383699653
Tamil Nadu,Vegetables,2023-10-30,1000,56.09582284682308,43.90417715317692
Manipur,Fruits,2024-10-28,2200,4.812291673499912,95.18770832650009
Assam,Cereals,2026-06-21,2000,14.454114258525157,85.54588574147485
Rajasthan,Pulses,2026-08-07,300,19.217876290934257,80.78212370906574
Nagaland,Vegetables,2026-02-16,2100,7.9522291580049345,92.04777084199506
Gujarat,Fruits,2025-04-05,800,60.81403239017796,39.18596760982204
